QTY,MPN,Manufacturer,Value,Ref. Des.,Package,Description
8,CPL-CAP-X5R-0805-10UF-16V,CPL,10 µF,"C101, C105, C109, C127, C507, C601, C602, C704",C0805,""
53,CPL-CAP-X7R-0603-100NF-50V,CPL,100 nF,"C102, C106, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C201, C401, C404, C407, C410, C415, C416, C419, C422, C423, C424, C427, C428, C429, C430, C433, C434, C435, C609, C611, C613, C615, C617, C619, C621, C623, C703, C709",C0603,""
2,CPL-CAP-X7R-0603-4.7NF-50V,CPL,4.7 nF,"C103, C107",C0603,""
2,CPL-CAP-X5R-0805-22UF-6.3V,CPL,22 µF,"C104, C108",C0805,""
27,CPL-CAP-X7R-0603-1UF-25V,CPL,1 µF,"C110, C111, C112, C501, C502, C503, C504, C505, C506, C508, C603, C605, C607, C608, C701, C702, C705, C710, C711, C712, C713, C714, C727, C730, C731, C732, C733",C0603,""
5,C1210C476M4PACTU,KEMET,47 µF,"C113, C509, C604, C606, C706",C1210,"SMD MLCC, X5R Dielectric, 4 – 50 VDC"
4,C0603C829D5GACTU,KEMET,8.2 pF,"C202, C203, C425, C431",C0603,"SMD MLCC, C0G Dielectric, 10 – 250 VDC"
9,CPL-CAP-X7R-0402-1NF-50V,CPL,1 nF,"C402, C405, C408, C411, C414, C417, C420, C436, C437",C0402,""
7,HMK105CG101JV-F,Taiyo Yuden,100 pF,"C403, C406, C409, C412, C413, C418, C421",C0402,Multilayer ceramic capacitor
2,C0603C470F1GACTU,KEMET,47 pF,"C426, C432",C0603,"SMD MLCC, C0G Dielectric, 10 – 250 VDC"
8,HMK105CG330JV-F,Taiyo Yuden,33 pF,"C610, C612, C614, C616, C618, C620, C622, C624",C0402,Multilayer ceramic capacitor
4,CBR04C101F3GAC,KEMET,100 pF,"C707, C708, C715, C718",C0402,"HiQ-CBR Series, C0G Dielectric, Low ESR 6.3 – 500 VDC, 1 MHz – 50 GHz"
2,CPL-CAP-X7R-0603-10NF-50V,CPL,10 nF,"C716, C717",C0603,""
2,CPL-CAP-X7R-0402-100NF-16V,CPL,100 nF,"C719, C720",C0402,""
1,C0603C182J5GACTU,KEMET,1.8 nF,C721,C0603,"SMD MLCC, C0G Dielectric, 10 – 250 VDC"
1,CPL-CAP-C0G-0603-100PF-50V,CPL,100 pF,C722,C0603,""
1,C0603C683J5RACTU,KEMET,68 nF,C723,C0603,"SMD MLCC, C0G Dielectric, 10 – 250 VDC"
1,C0603C391F5GACTU,KEMET,390 pF,C724,C0603,"SMD MLCC, C0G Dielectric, 10 – 250 VDC"
4,LMK107BJ106MALTD,Taiyo Yuden,10 µF,"C725, C726, C728, C729",C0603,Multilayer ceramic capacitor
1,B340A-13-F,Diodes Inc.,B340A-13-F,D101,SMA,3.0A surface mount schottky barrier rectifier
9,150060GS75000,Würth Elektronik,150060GS75000,"D102, D201, D301, D302, D303, D304, D305, D306, D307",0603 LED,LED green clear 0603 SMD 
5,BLM18AG601SN1D,Murata,BLM18AG601SN1D,"FB101, FB701, FB702, FB703, FB704",C0603,"Ferrite bead, 600 Ohm @ 100 MHz, 500 mA"
2,5000,Keystone,5000,"J101, J602",5000,Miniature THM Test Point - Red
1,5001,Keystone,5001,J102,5000,Miniature THM Test Point - Black
1,302-S101,On Shore Technology,302-S101,J201,"IDC header 2×5, 2.54mm pitch, vertical","IDC header 2×5, 2.54mm pitch, vertical"
1,142-0761-881,Cinch Connectivity Solutions,142-0761-881,J601,142-0761-881,Edge launch SMA connector
1,135-3701-201,Cinch Connectivity Solutions,135-3701-201,J701,135-3701-201,"MMCX Jack, Straight PCB Mount"
2,XFL4020-222MEC,Coilcraft,2.2 µH,"L101, L102",XFL4020,Shielded Power Inductor
4,LQW18ANR10G00D,Murata,100 nH,"L401, L402, L403, L404",LQW18AN_00,Wirewound chip inductor
2,LQG15HS18NJ02D,Murata,18 nH,"L701, L702",L0402 (polarized),"Inductor 18 nH, 400 mA, 0.36 Ω"
1,1734035-2,TE Connectivity,1734035-2,P201,1734035-2,Mini USB-B receptacle
1,2N7002T-7-F,Diodes Inc.,2N7002T-7-F,Q201,SOT-523,N-channel enhancement mode MOSFET
1,CPL-RES-0603-3.3K-0.1W,CPL,3.3 kΩ,R101,R0603,""
20,CPL-RES-0603-10K-0.1W,CPL,10 kΩ,"R102, R107, R201, R203, R204, R205, R206, R207, R208, R210, R211, R212, R302, R303, R310, R311, R312, R405, R406, R701",R0603,""
1,CPL-RES-0603-6.8K-0.1W,CPL,6.8 kΩ,R103,R0603,""
2,CPL-RES-0603-4.7K-0.1W,CPL,4.7 kΩ,"R104, R611",R0603,""
9,CPL-RES-0603-681-0.1W,CPL,681 Ω,"R105, R209, R301, R304, R305, R306, R307, R308, R309",R0603,""
1,CPL-RES-0603-1K-0.1W,CPL,1 kΩ,R106,R0603,""
6,CPL-RES-0402-100-0.063W,CPL,100 Ω,"R202, R407, R604, R609, R702, R708",R0402,""
4,CRCW040249R9FKEDC,Vishay,50 Ω,"R401, R402, R403, R404",R0402,Thick Film Chip Resistor
4,CPL-RES-0603-120-0.1W,CPL,120 Ω,"R601, R605, R606, R610",R0603,""
4,CPL-RES-0603-150-0.1W,CPL,150 Ω,"R602, R603, R607, R608",R0603,""
5,FC0402E50R0BST1,Vishay,50 Ω,"R703, R704, R705, R706, R707",R0402,High Frequency (up to 40 GHz) Resistor
1,RC0603FR-0718RL,Yageo,18 Ω,R709,R0603,General Purpose Chip resistor
1,CPL-RES-0603-0-0.1W,CPL,0 Ω,R710,R0603,""
1,CPL-RES-0603-68.1-0.1W,CPL,68.1 Ω,R711,R0603,""
2,ETC1-1-13,Macom,ETC1-1-13,"T401, T402",ETC1-1-13,1:1 Transmission line transformer 4.5 - 3000 MHz
1,NCR2-123+,Minicircuits,NCR2-123+,T601,NF1846-1,RF transformer 4700 to 12000 MHz
2,TPS62130RGTR,Texas Instruments,TPS62130RGTR,"U101, U102",RGT,"3 V to 17 V, 3A Step-Down Converter"
5,TPS7A4700RGWR,Texas Instruments,TPS7A4700RGWR,"U103, U504, U601, U602, U701",RGW,"36 V, 1 A, 4 µV RMS , RF LDO Voltage Regulator"
3,LP5907MFX-1.8/NOPB,Texas Instruments,LP5907MFX-1.8/NOPB,"U104, U502, U603",DBV,"250 mA Ultra-Low-Noise, Low Iq LDO"
1,10M50SCE144C8G,Intel,10M50SCE144C8G,U105,EQFP-144,MAX 10 FPGA
1,MCP2210-I/MQ,Microchip,MCP2210-I/MQ,U201,RGW,USB-to-SPI Protocol Converter with GPIO (Master Mode)
1,AD9122BCPZ,Analog Devices,AD9122BCPZ,U401,CP-72-7,"Dual 16-Bit, 1230 MSa/s DAC"
2,LP5907MFX-3.3/NOPB,Texas Instruments,LP5907MFX-3.3/NOPB,"U501, U503",DBV,"250 mA Ultra-Low-Noise, Low Iq LDO"
1,DAC081S101CIMK/NOPB,Texas Instruments,DAC081S101CIMK/NOPB,U604,DDC,8-Bit µPower DAC
1,ADRF6780ACPZN-R7,Analog Devices,ADRF6780ACPZN-R7,U605,QFN-32,5.9 GHz - 23.6 GHz Upconverter
1,SG5032VAN 100.000000M-KEGA3,EPSON,SG5032VAN 100.000000M-KEGA3,U702,SG5032,Crystal Oscillator 100 MHz LVDS output
1,Si53306-B-GM,Silicon Labs,Si53306-B-GM,U703,QFN-16,1 : 4 low-jitter buffer/level translator
1,LMX2595RHAT,Texas Instruments,LMX2595RHAT,U704,RHA,19 GHz Wideband RF Synthesizer
1,NX3225SA-12.000M-STD-CRS-2,NDK,12MHz,Y201,4-SMD 3.2×2.5mm,12 MHz 8 pF SMD crystal oscillator
